IBGE,NUMERO,UF,MUNICIPIO,CNES,NOME FANTASIA,RAZAO SOCIAL,LOGRADOURO,NUMERO_1,BAIRRO,CEP,LATITUDE,LONGITUDE
350050,1,SP,AGUAS DE LINDOIA,3853357,PSF III DR JOSE EGIDIO DE ALVARENGA AGUAS DE LINDOIA,PREFEITURA MUNICIPAL DE AGUAS DE LINDOIA,M,AVENIDA DAS NACOES UNIDAS,1100,CENTRO,,
351380,2,SP,DIADEMA,3853594,SONIA REGINA DE SOUZA LAPA,SONIA REGINA DE SOUZA LAPA,AVENIDA JOSE BONIFACIO,838,JD SERRARIA,9960120,,
354990,3,SP,SAO JOSE DOS CAMPOS,3854132,CARMEN CRISTINA PONTES DE MORAIS HUNGRIA,HUNGRIA SERVICOS MEDICOS LTDA,,M,PAULO SETUBAL,147,,
354990,4,SP,SAO JOSE DOS CAMPOS,3854183,ROSEMEIRE APARECIDA FACIOLI,ROSEMEIRE APARECIDA FACIOLI,RUA SANTA LUZIA,106,JD NOVA AMERICA,12242580,,
354340,5,SP,RIBEIRAO PRETO,5015839,IMPLAMARK RIBEIRAO PRETO,IMPLAMARK IMPLANTES ODONTOLOGICOS EIRELI,,M,TAPAJOS,1851,,
354340,6,SP,RIBEIRAO PRETO,5015936,PICOLLI CLINICA PEDIATRICA,PICOLLI CLINICA PEDIATRICA S S,,M,AV JOSE ADOLFO BIANCO MOLINA,2271,,
355030,7,SP,SAO PAULO,5015944,INST COHEN DE ORTOP REABILITACAO E MEDICINA DO ESPORTE,INSTITUTO COHEN DE ORTOPEDIA REABILITACAO E MEDIC DO ESPORTE,,M,AVENIDA LINEU DE PAULA MACHADO,660,,
355030,8,SP,SAO PAULO,5015979,CLINICA ESPEC GIAN MARCO LIBANO,GIANMARCO LIBANO,RUA MATO GROSSO,306,HIGIENOPOLIS,1237040,,
355030,9,SP,SAO PAULO,5016002,CONS MEDICO ROBERTO FRANCESCHELLI FILHO,ROBERTO FRANCESCHELLI FILHO,RUA TEODORO SAMPAIO,744,PINHEIROS,3279060,,
355030,10,SP,SAO PAULO,5016045,CLINOB CLINICA OBSTETRICA,CLINOB CLINICA OBSTETRICA SC LTDA,,M,RUA DOMINGOS RODRIGUES,341,,
354390,11,SP,RIO CLARO,5016088,CONSULTORIO DE PSICOLOGIA,NORMA MISSONO CECCATO,RUA 9,3229,ALTO DO SANTANA,13504191,407349257,-739231109
354850,12,SP,SANTOS,5016290,FRANCISCO CARLOS MORAES DOS SANTOS,FRANCISCO CARLOS MORAES DOS SANTOS,AVENIDA DOUTOR PEDRO LESSA,523,PONTA DA PRAIA,11025001,,
354340,13,SP,RIBEIRAO PRETO,5016991,INSTITUTO ONCOLOGICO DE RIBEIRAO PRETO,INSTITUTO ONCOLOGICO DE RIBEIRAO PRETO LTDA,,M,RUA AYRTON ROXO,571,,
354880,14,SP,SAO CAETANO DO SUL,5017092,CLINICA MEDICA ANITA G BOLOGNANI LTDA,CLINICA MEDICA ANITA G BOLOGNANI LTDA,RUA HERCULANO DE FREITAS,295,FUNDACAO,9520280,,
351350,15,SP,CUBATAO,5017114,NICIA COSTA RIBEIRO,NICIA COSTA RIBEIRO,RUA 1 DE MAIO,55,VILA NOVA,11520130,,
351350,16,SP,CUBATAO,5017149,MARIA RITA BRUDER COSTA,MARIA RITA BRUDER COSTA,RUA 1 DE MAIO,55,VILA NOVA,11520130,,
355400,17,SP,TATUI,5017432,EDVALDO CANDIDO DE OLIVEIRA,EDVALDO CANDIDO DE OLIVEIRA,AV CEL FIRMO VIEIRA DE CAMARGO,782,CENTRO,18270770,,
355400,18,SP,TATUI,5017440,PROTESE DENTARIA PAULO ROBERTO AMADEI TATUI SP,PAULO ROBERTO AMADEI ME,,M,RUA CAPITAO LISBOA,715,4080777,-7394549
353950,19,SP,PITANGUEIRAS,5017637,MARCELO FERREIRA GOMES ODONTOLOGIA PITANGUEIRAS,MARCELO FERREIRA GOMES,RUA GETULIO VARGAS,12,CENTRO,14750000,,
352480,20,SP,JALES,5017718,ASSUNCAO AZEVEDO,ASSUNCAO AZEVEDO S S LTDA,,M,RUA 14,2131,,
350060,21,SP,AGUAS DE SAO PEDRO,7072244,CARDIOTEST DE AGUAS DE SAP PEDRO,CARDIOTEST DE AGUAS DE SAO PEDRO S S LTDA,,M,PRACA DOS ROUXINOIS,360,,
350160,22,SP,AMERICANA,7080247,TEREZINHA APARECIDA GALASSI ANTONIO,TEREZINHA APARECIDA GALASSI ANTONIO,RUA DAS ACACIAS,133,JD SAO PAULO,13468150,,
350600,23,SP,BAURU,7084579,ERIKA PIMENTEL LOBO ASSUMPCAO,ERIKA PIMENTEL LOBO ASSUMPCAO,RUA RIO BRANCO,1383,CENTRO,17015311,,
355160,24,SP,SERRA NEGRA,5017734,CAPS DE SERRA NEGRA,PREFEITURA MUNICIPAL DA ESTANCIA HIDROMINERAL DE SERRA NEGRA,M,AVENIDA JOAO GEROSA,1855,DOS FRANCOS,40895195,-7388012
355710,25,SP,VOTUPORANGA,5017742,CONS ISOL DRA ADRIANA GUERCHE GIBIM VOTUPORANGA,ADRIANA GUERCHE GIBIM,R TIETE,3068,SANTA ELISA,15505186,,
354340,26,SP,RIBEIRAO PRETO,5018102,FABIANE LEONI COUTO ROSA BERGAMO,FABIANE LEONI COUTO ROSA BERGAMO,RUA JOAO ARCADEPANI FILHO,278,NOVA RIBEIRANIA,14096720,,
