added_at,album_name,track_number,artists,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist_name,playlist_description
2022-06-10 03:01:00+00:00,Fica Até Umas Hora,1,"[['Black Alien', '6aCbXH85qN6xo54C7atSMx']]",Fica Até Umas Hora,45,0.788,0.591,11,-7.744,0,0.358,0.622,5.35e-05,0.362,0.712,74.884,228800,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,The Cypher Deffect 3,1,"[['Costa Gold', '7q1aEytv83jXNECmyaMhgn'], ['Tz da Coronel', '3lIU3RoZiHen1QXAQ3KQ9e'], ['Major RD', '76hYPcWML9NGEh8LashwT5'], ['André Nine', '5cc7XCY3YdVmFDYw9LklMq']]",The Cypher Deffect 3,62,0.574,0.66,1,-6.694,1,0.389,0.299,0.0,0.114,0.667,82.33,276882,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Deus É o Meu Guia,1,"[['Chefin', '68PYmgkbRP1qZnEWOry7sB'], ['Mainstreet', '25XJqeReVV38w0tR04GGBd']]",Deus É o Meu Guia,72,0.881,0.373,1,-8.908,0,0.0582,0.215,0.0,0.077,0.909,114.974,166957,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Coisas Que Eu Só Falaria Brincando,7,"[['Sid', '05BrFNfdik79RdmOG1Ux1Q'], ['NOG', '1QAoT8rjnSPy5pXpu3yiHS'], ['André Nine', '5cc7XCY3YdVmFDYw9LklMq'], ['Chiocki', '0UFcxMt1Cv90Y1qKpVDT5Z']]",Sitio do Tio Harry,65,0.682,0.694,1,-6.353,1,0.43,0.448,0.0,0.298,0.732,84.306,291882,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Sigo na Fé do Pai,1,"[['Salvador Da Rima', '3zUcyANWSbo98ikca4ugrV'], ['Mc Poze do Rodo', '28ie4NNTa2VW2QV4Zray8M'], ['MC Ryan SP', '75i9GaW2MJUgt4BkdUnuUY'], ['Bielzin', '2vWGxqWbGgmgxVDZ5CBvBP'], ['Neo Beats', '6PERJZF7wohA034PAxDK0b']]",Sigo na Fé do Pai,66,0.499,0.762,6,-4.163,0,0.453,0.141,0.0,0.0988,0.622,173.262,264828,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Insônia 2,1,"[['Tribo da Periferia', '1xxS2WrLlgl9QNGEUCsbPG'], ['Hungria Hip Hop', '0vLuOi2k62sHujIfplInlK'], ['MC Ryan SP', '75i9GaW2MJUgt4BkdUnuUY']]",Insônia 2,69,0.76,0.351,0,-11.63,1,0.061,0.29,0.0,0.156,0.294,139.951,267429,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,QVVJFA?,4,"[['Baco Exu do Blues', '78nr1pVnDR7qZH6QbVMYZf']]",20 Ligações,70,0.688,0.389,0,-10.62,1,0.174,0.779,7.26e-06,0.108,0.536,75.073,193600,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Facilitei,1,"[['L7NNON', '0JjPiLQNgAFaEkwoy56B1C'], ['Ajaxx', '0y7B2G0jNMGWyQJsOoRMUt']]",Facilitei,55,0.746,0.563,6,-10.849,0,0.269,0.575,1.03e-06,0.125,0.639,120.0,212000,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Tecnologia,1,"[['Pedro Simples', '4onypgNFPIHhPqEO7BYYIE'], ['Jamés Ventura', '40CHfCMucIRnSYydfshohB'], ['Malokero Anônimo', '61h45TTf8pScBErVEDm3mz'], ['DJ B8', '3PH6x2yZ6Gb0iPIYj6XQAB']]",Tecnologia,43,0.662,0.725,2,-6.526,1,0.283,0.043,0.0,0.778,0.532,81.887,187500,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Bom dia Vietnã 2,1,"[['Puro Suco', '3UD5S1SrDQo3KPTfWxL7Ms'], ['BEATDOMK', '3skj2KZCvizGrCwYD03ApC']]",Bom dia Vietnã 2,46,0.648,0.514,11,-8.525,1,0.343,0.68,0.0,0.362,0.857,107.772,165488,4,AULAS,black alien é AULAS
