added_at,album_name,track_number,artists,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist_name,playlist_description
2022-06-10 03:01:00+00:00,Fica Até Umas Hora,1,['Black Alien'],Fica Até Umas Hora,45,0.788,0.591,11,-7.744,0,0.358,0.622,5.35e-05,0.362,0.712,74.884,228800,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,The Cypher Deffect 3,1,"['Costa Gold', 'Tz da Coronel', 'Major RD', 'André Nine']",The Cypher Deffect 3,62,0.574,0.66,1,-6.694,1,0.389,0.299,0.0,0.114,0.667,82.33,276882,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Deus É o Meu Guia,1,"['Chefin', 'Mainstreet']",Deus É o Meu Guia,72,0.881,0.373,1,-8.908,0,0.0582,0.215,0.0,0.077,0.909,114.974,166957,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Coisas Que Eu Só Falaria Brincando,7,"['Sid', 'NOG', 'André Nine', 'Chiocki']",Sitio do Tio Harry,65,0.682,0.694,1,-6.353,1,0.43,0.448,0.0,0.298,0.732,84.306,291882,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Sigo na Fé do Pai,1,"['Salvador Da Rima', 'Mc Poze do Rodo', 'MC Ryan SP', 'Bielzin', 'Neo Beats']",Sigo na Fé do Pai,66,0.499,0.762,6,-4.163,0,0.453,0.141,0.0,0.0988,0.622,173.262,264828,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Insônia 2,1,"['Tribo da Periferia', 'Hungria Hip Hop', 'MC Ryan SP']",Insônia 2,69,0.76,0.351,0,-11.63,1,0.061,0.29,0.0,0.156,0.294,139.951,267429,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,QVVJFA?,4,['Baco Exu do Blues'],20 Ligações,70,0.688,0.389,0,-10.62,1,0.174,0.779,7.26e-06,0.108,0.536,75.073,193600,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Facilitei,1,"['L7NNON', 'Ajaxx']",Facilitei,55,0.746,0.563,6,-10.849,0,0.269,0.575,1.03e-06,0.125,0.639,120.0,212000,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Tecnologia,1,"['Pedro Simples', 'Jamés Ventura', 'Malokero Anônimo', 'DJ B8']",Tecnologia,43,0.662,0.725,2,-6.526,1,0.283,0.043,0.0,0.778,0.532,81.887,187500,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Bom dia Vietnã 2,1,"['Puro Suco', 'BEATDOMK']",Bom dia Vietnã 2,46,0.648,0.514,11,-8.525,1,0.343,0.68,0.0,0.362,0.857,107.772,165488,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Me Sinto Abençoado,1,"['Mc Poze do Rodo', 'Filipe Ret', 'Mainstreet', 'Ajaxx']",Me Sinto Abençoado,77,0.729,0.596,0,-5.101,1,0.0607,0.463,0.0,0.18,0.319,117.918,214236,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Universo Particular,3,"['Hungria Hip Hop', 'MC Ryan SP']",Cruzeiro da Revoada,70,0.869,0.5,6,-7.188,0,0.143,0.521,0.0,0.132,0.818,123.126,222603,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Nômade VII,1,"['Zarastruta', 'Jean Tassy', 'Patricio Sid', 'Don']",Nômade VII,47,0.813,0.424,1,-11.035,0,0.375,0.816,0.0,0.081,0.546,92.972,206452,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Mensagem 2,1,"['Mc Kevin', 'DJ Negret']",Mensagem 2,58,0.672,0.767,5,-7.073,0,0.0705,0.36,0.0,0.091,0.725,94.897,151579,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Cereja Hollywood,8,"['Dalsin', 'Alaska', 'Gioprod', 'Matheusinho']",Vegana,65,0.673,0.462,0,-8.763,0,0.213,0.552,1.24e-05,0.127,0.669,121.714,175082,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Poesia Acústica 11: Nada Mudou,1,"['Pineapple StormTv', 'Azzy', 'MC Ryan SP', 'Chris MC', 'Xamã', 'Lourena', 'L7NNON', 'Cynthia Luz', 'Mc Poze do Rodo', 'Salve Malak', 'Hunter']",Poesia Acústica 11: Nada Mudou,71,0.725,0.622,7,-5.573,0,0.0438,0.579,0.0,0.144,0.356,119.985,600000,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,A Cara do Crime 2 (Cansou de Playboy),1,"['Mc Poze do Rodo', 'Bielzin', 'Xamã', 'MC Cabelinho', 'Neo Beats', 'Mainstreet']",A Cara do Crime 2 (Cansou de Playboy),72,0.736,0.647,10,-2.843,0,0.324,0.233,0.0,0.198,0.5,85.126,265412,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,"Faça Dinheiro, Se Mantenha Vivo",1,"['LEALL', 'KOPO']","Faça Dinheiro, Se Mantenha Vivo",63,0.515,0.544,11,-5.741,0,0.458,0.727,0.0,0.147,0.283,51.612,138919,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Auxílio Emergencial do Rap,1,['Coruja Bc1'],Auxílio Emergencial do Rap,45,0.807,0.637,10,-10.415,0,0.424,0.0435,0.0,0.0653,0.846,92.178,220435,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Imaterial (Deluxe),1,"['Filipe Ret', 'L7NNON', 'Chris Beats Zn']",Corte Americano,74,0.728,0.665,5,-5.519,0,0.0595,0.555,0.0,0.14,0.473,129.055,139535,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Outro Patamar,1,"['Hungria Hip Hop', 'Mc Lipi']",Outro Patamar,65,0.837,0.577,3,-5.853,0,0.207,0.235,0.0,0.0753,0.564,129.944,225067,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Paraiso de Kant,1,['Kant'],Paraiso de Kant,49,0.914,0.578,7,-8.417,1,0.346,0.746,0.0,0.0841,0.571,94.965,148158,3,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,A Divina Comédia 2,1,"['Rap Box', 'Fabio Brazza', 'Léo Casa 1', 'Gigante No Mic', 'Mano Fler', 'Zeus']",A Divina Comédia 2,47,0.704,0.936,10,-2.582,0,0.318,0.257,0.0,0.257,0.742,93.36,319992,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Playboy,1,"['Krawk', 'Hungria Hip Hop', 'André Nine']",PLAYBOY,59,0.751,0.44,5,-8.77,1,0.0795,0.251,0.0,0.115,0.367,140.073,203143,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Nathalina,1,"['Kant', 'Spinardi', 'JG', 'Savage TV']",Nathalina,45,0.548,0.721,11,-6.755,0,0.331,0.01,0.0,0.201,0.548,95.039,240274,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Pique Peaky Blinders,1,['Black Alien'],Pique Peaky Blinders,54,0.685,0.671,9,-4.886,1,0.32,0.166,0.0,0.709,0.753,169.957,185605,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,R.U.A 12 Batalha de Vida,1,"['Fabio Brazza', 'Nocivo Shomon', 'Jhony Mc', 'Krawk', 'Max Bo', 'Alves', 'Sid']",R.U.A 12 Batalha de Vida,47,0.739,0.571,4,-10.343,0,0.403,0.449,0.0,0.324,0.656,160.191,618000,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Tamo Gigante,1,"['Haikaiss', 'Major RD', 'Chayco']",Tamo Gigante,53,0.913,0.691,10,-6.794,0,0.318,0.0992,0.0,0.102,0.754,120.06,316000,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,HERMÈS,1,"['L7NNON', 'LeodoKick', 'MD Chefe']",HERMÈS,59,0.822,0.454,1,-9.677,1,0.269,0.343,0.0,0.0852,0.376,105.938,171368,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Conta Bancária,1,"['Kawe', 'DJ Gui', 'Original Quality', 'Elenko Music']",Conta Bancária,52,0.863,0.586,2,-4.856,0,0.0633,0.475,0.0,0.0621,0.542,115.012,156522,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Click Click,1,"['Costa Gold', 'André Nine']",Click Click,59,0.832,0.666,0,-7.045,1,0.299,0.24,0.0,0.047,0.68,114.873,210783,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Liderança,1,"['Rock Danger', 'Major RD', 'Borges', 'KIB7']",Liderança,63,0.73,0.813,5,-4.264,0,0.0917,0.696,3.22e-05,0.127,0.619,109.942,210445,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,LITTLE HAIR,14,"['MC Cabelinho', 'MD Chefe', 'DomLaike', 'Dj Felipe Rosa']",RIO SUL,61,0.745,0.598,1,-6.906,1,0.252,0.413,0.0,0.269,0.447,120.005,140000,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Atg Tape,6,"['MD Chefe', 'L7NNON', 'Offlei Sounds', 'PL Quest']",Fragrância - Remix,64,0.74,0.623,7,-6.107,0,0.267,0.503,0.0,0.199,0.529,111.872,171428,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Nada é pra sempre,1,['L7NNON'],Nada é pra sempre,59,0.721,0.482,0,-10.247,1,0.0768,0.192,0.0,0.0537,0.37,95.055,229928,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Quer Voar,1,['Matuê'],Quer Voar,75,0.806,0.595,8,-6.166,0,0.246,0.138,0.0,0.0882,0.677,82.492,187636,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Vida Toda - Spotify Singles,1,['L7NNON'],Vida Toda - Spotify Singles,67,0.755,0.476,9,-7.439,1,0.12,0.113,0.0,0.179,0.502,129.833,153245,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Marília Mendonça,1,"['BIN', 'Mainstreet', 'Mãolee']",Marília Mendonça,57,0.633,0.631,4,-6.847,0,0.296,0.3,0.0,0.1,0.512,139.755,113519,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Sei Lá (Papatracks#7),1,"['Papatinho', 'Choji', 'Lil Gabi']",Sei Lá (Papatracks#7),67,0.66,0.45,2,-7.747,1,0.314,0.577,0.000116,0.156,0.525,101.035,147327,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Pura Ilusão,1,"['BIN', 'MC Hariel', 'Malibu']",Pura Ilusão,57,0.484,0.531,0,-9.635,1,0.116,0.556,0.000236,0.114,0.438,127.119,167349,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Apê 1001,1,"['BIN', 'LUDMILLA', 'Mainstreet', 'Dallass']",Apê 1001,64,0.575,0.549,6,-6.137,1,0.104,0.73,0.0,0.112,0.711,139.938,171429,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,AQuadrilha,2,"['Djonga', 'A Quadrilha', 'Marcelo Tofani', 'X Sem Peita', 'Bertiolli', 'Dougnow', 'Tibery']",Ouro Branco,54,0.796,0.578,1,-6.255,1,0.252,0.0287,0.0,0.0943,0.272,130.004,245538,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Eu Fiz o Jogo Virar,1,"['Mc Poze do Rodo', 'Mainstreet', 'Ajaxx']",Eu Fiz o Jogo Virar,72,0.621,0.499,6,-6.998,0,0.481,0.385,0.0,0.131,0.421,122.07,145574,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Easy Money,1,"['Djonga', 'Coyote Beatz']",Easy Money,56,0.549,0.728,6,-5.198,0,0.5,0.0418,0.0,0.0708,0.496,83.469,191220,5,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Reis da Revoada,1,"['Orochi', 'MC Ryan SP', 'Mainstreet', 'Kizzy', 'Ajaxx']",Reis da Revoada,52,0.487,0.707,8,-4.126,0,0.106,0.188,0.0,0.106,0.541,133.005,205663,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Proibidão 2021,1,"['Borges', 'Bielzin', 'Mainstreet', 'Chris Beats Zn', 'Flacko', 'Mc Rodson']",Proibidão 2021,56,0.522,0.612,7,-5.923,0,0.344,0.0907,0.0,0.202,0.484,82.851,261639,5,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Universo Particular,1,"['Hungria Hip Hop', 'Kawe', 'NOG']",Favela No Topo,63,0.892,0.49,8,-7.524,0,0.327,0.219,0.0,0.112,0.715,125.027,262200,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Vida Louca,1,"['Mc Poze do Rodo', 'Neo Beats', 'Mainstreet']",Vida Louca,69,0.852,0.62,6,-5.79,0,0.227,0.359,0.0,0.101,0.744,92.464,155676,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Imaterial (Deluxe),3,"['Filipe Ret', 'Marcelo Falcão', 'Dallass']",Não Desista Agora,61,0.56,0.632,0,-5.839,1,0.131,0.287,0.0,0.0922,0.243,92.349,195000,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Taca o Bumbum (Papatracks#6) [feat. L7NNON],1,"['NOG', 'OIK', 'Kaeni Mc', 'L7NNON']",Taca o Bumbum (Papatracks#6) [feat. L7NNON],53,0.958,0.494,2,-7.45,1,0.274,0.19,4.86e-06,0.0545,0.622,126.045,211429,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Mateca x Teto,2,"['Teto', 'Mateca']",Balazul,66,0.843,0.458,5,-7.428,0,0.166,0.31,0.0,0.14,0.772,110.077,202909,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,A Cara do Crime 3 (Brinde à Liberdade),1,"['Mc Poze do Rodo', 'Orochi', 'Filipe Ret', 'Mainstreet', 'Bielzin']",A Cara do Crime 3 (Brinde à Liberdade),73,0.616,0.591,11,-4.298,0,0.318,0.284,0.0,0.0791,0.704,173.817,300690,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Fim de Semana no Rio,1,['Teto'],Fim de Semana no Rio,82,0.867,0.494,1,-6.514,0,0.084,0.118,0.0,0.101,0.29,118.868,165882,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Baile da Serra,1,"['Braão', 'LIT UP', 'Dj Nattan']",Baile da Serra,76,0.801,0.623,7,-7.886,0,0.362,0.496,0.0,0.0923,0.622,109.797,205058,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Assault (Carro Forte),1,"['Orochi', 'Chefin', 'Oruam', 'Borges', 'Mainstreet', 'Bielzin']",Assault (Carro Forte),72,0.585,0.622,3,-5.958,0,0.229,0.412,0.0,0.124,0.712,89.754,304000,3,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Aulas e Cursos,1,['DNASTY'],Aulas e Cursos,73,0.761,0.571,6,-10.133,0,0.0349,0.0592,0.0,0.175,0.628,113.985,213635,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Vampiro,1,"['Matuê', 'WIU', 'Teto']",Vampiro,84,0.782,0.643,8,-4.956,0,0.0438,0.0136,0.0,0.0654,0.627,114.994,250435,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,LITTLE HAIR,3,"['MC Cabelinho', 'Bielzin', 'Mc Poze do Rodo', 'Tz da Coronel', 'Neo Beats']",ESSÊNCIA DE CRIA,74,0.631,0.743,3,-5.317,0,0.299,0.386,0.0,0.0862,0.766,102.894,192194,3,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Isso Que É Bom,1,"['Alee', 'Hash Produções']",Isso Que É Bom,67,0.847,0.483,10,-9.72,0,0.258,0.0906,0.0,0.286,0.853,111.001,155259,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Nois faz a moda,1,"['Danzo', 'Kyan', 'Labbel Rec']",Nois faz a moda,50,0.915,0.647,8,-7.022,0,0.0474,0.162,0.0,0.177,0.912,110.034,183273,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Filho do Dono,1,"['Oruam', 'MC Cabelinho', 'Mainstreet']",Filho do Dono,69,0.561,0.437,7,-7.512,0,0.0928,0.209,0.0,0.261,0.362,127.547,210000,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Iphone Branco,1,"['Borges', 'Mainstreet']",Iphone Branco,71,0.929,0.561,0,-6.686,1,0.403,0.0907,0.0,0.188,0.708,139.958,137143,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,ye,1,['Japa'],ye,64,0.787,0.51,5,-6.913,0,0.0679,0.0407,7.07e-06,0.109,0.436,140.089,167370,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Nova Moda,7,"['Caio Luccas', 'NADAMAL', 'Dallass', 'Viper', 'Honaiser']",Fumaça no Studio,55,0.783,0.689,6,-3.054,0,0.0467,0.502,0.0,0.0994,0.531,118.987,147088,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Melhor Gestão,1,"['Caio Luccas', 'NADAMAL', 'éoTGL']",Melhor Gestão,59,0.665,0.528,8,-4.913,0,0.0445,0.327,0.0,0.122,0.536,120.655,206281,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Sem Dó,1,"['Matuê', 'L7NNON']",Sem Dó,76,0.612,0.661,5,-5.175,0,0.133,0.163,0.0,0.103,0.659,172.467,267130,3,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Vestido da Fendi,1,['KayBlack'],Vestido da Fendi,69,0.844,0.363,3,-11.099,0,0.442,0.0957,0.0,0.115,0.626,118.096,164204,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Tentando Sair do Gueto,1,"['Brocasito', 'Yung Lince']",Tentando Sair do Gueto,52,0.798,0.355,6,-14.269,0,0.177,0.0332,0.0,0.31,0.641,93.999,109934,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,CPX Ta Tega,1,"['Mc Poze do Rodo', 'MC Maneirinho', 'Mainstreet', 'Neo Beats']",CPX Ta Tega,69,0.81,0.732,11,-4.748,0,0.543,0.221,0.0,0.153,0.874,119.644,142667,5,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Coração Terra de Ninguém,2,"['MC Ryan SP', 'Orochi', 'Pedro Lotto', 'MC Cabelinho', 'Mc Don Juan', 'Paiva Prod']",Aliança,69,0.58,0.596,4,-3.999,0,0.251,0.452,0.0,0.227,0.531,119.837,318667,5,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Ouro Rosé,1,"['Felp 22', 'JP Diazz', 'Medellin']",Ouro Rosé,50,0.748,0.689,7,-5.981,1,0.06,0.0537,0.0,0.243,0.355,120.026,146822,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,"Oi, Como Ce Tá?",1,"['Vulgo FK', 'Elenko Music', 'WEY', 'Wall Hein']","Oi, Como Ce Tá?",77,0.704,0.724,11,-5.577,0,0.0514,0.0988,0.0,0.0796,0.733,156.101,156154,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,12 CHIVAS,1,['MC Igu'],12 Chivas,58,0.83,0.524,8,-9.316,0,0.0493,0.318,2.84e-05,0.139,0.601,110.988,175149,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Historinha,1,"['Chefin', 'Mainstreet']",Historinha,62,0.883,0.589,5,-6.661,0,0.0705,0.372,0.0,0.108,0.813,141.02,139574,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Dublê de Marido,1,"['Xamã', 'Pedro Lotto']",Dublê de Marido,66,0.825,0.718,11,-5.156,1,0.065,0.25,0.0,0.11,0.757,126.063,154286,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Cerol Finin,1,"['UCLÃ', 'Sobs', 'Sueth', 'Tasha  Tracie']",Cerol Finin,59,0.858,0.517,8,-6.585,1,0.181,0.0354,0.0,0.136,0.427,125.104,260180,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Mini Game,1,"['Mu540', 'Kyan', 'DJ BRUNO PRADO']",Mini Game,63,0.716,0.726,9,-5.735,1,0.302,0.0857,0.0,0.521,0.749,142.145,138856,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Estaciona e Desce,1,"['Tropa do Bruxo', 'Sidoka', 'Chris MC', 'DogDu BEAT', 'Mc Anjim']",Estaciona e Desce,57,0.739,0.586,8,-10.596,0,0.258,0.0907,0.0,0.0859,0.819,78.973,200574,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Maluca Surtada,1,"['Menor MC', 'MC Ryan SP', 'DJ Matt D']",Maluca Surtada,58,0.826,0.16,11,-15.076,0,0.483,0.725,2.11e-06,0.133,0.553,124.989,179000,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,PELE,6,"['NINA', 'Terra']",Matemática,56,0.642,0.39,1,-12.797,1,0.23,0.653,0.000651,0.086,0.454,143.056,134264,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,Freio da Blazer,1,"['L7NNON', 'Ajaxx']",Freio da Blazer,72,0.515,0.63,5,-7.691,0,0.168,0.274,0.0,0.1,0.367,121.98,180000,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,INVEJOSO,1,"['Distrito 23', 'Raffé', 'Chefin', 'Jhowzin', 'Oruam']",INVEJOSO,70,0.642,0.54,6,-6.632,0,0.192,0.128,0.0,0.103,0.416,118.998,300506,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
2022-06-10 03:01:00+00:00,F* F* M*,1,"['Filipe Ret', 'Dallass']",F* F* M*,61,0.866,0.542,4,-7.13,0,0.344,0.651,0.0,0.09,0.362,119.982,176000,4,Trapperz Brasil,"🚂  Aqui é só o trem caro do trap! Foto: Teto, Mateca"
