#separator:tab
#html:true
What is CNN convolution and how does it differ from mathematical convolution?	CNN convolution is actually cross-correlation where a filter slides over the input, computing element-wise products and summing them. True mathematical convolution would flip the kernel, but CNNs skip this step for computational efficiency. This operation extracts local patterns by detecting how well the filter matches each region of the input.
What makes CNN convolution special for image processing?	CNN convolution has three key properties that make it powerful for images. It uses local connectivity so each output only depends on a small input region. It shares the same filter weights across all spatial locations, which dramatically reduces parameters. And it provides translation equivariance, meaning the same pattern gets detected regardless of where it appears in the image.
What is a receptive field in CNNs?	The receptive field is the region of the original input that influences a particular neuron's output. Think of it as the "field of view" for each neuron - it starts small in early layers and grows larger as you go deeper, allowing the network to capture increasingly complex patterns from larger areas.
How does the receptive field grow as you add more layers?	The receptive field expands naturally through depth. Early layers see tiny patches like edges and textures. Middle layers combine these into object parts and shapes. Deep layers can see large regions containing complete objects or scenes. Each additional layer with kernels and strides makes the effective field of view larger.
What is max pooling and when is it useful?	Max pooling takes the maximum value from each local region, keeping only the strongest activation. This preserves the most important features while reducing spatial size. It's particularly useful for detecting edges and distinctive patterns because it maintains the presence of key features even if they shift slightly within the pooling window.
What is average pooling and when should you use it?	Average pooling computes the mean value over each local region, creating a smooth downsampling effect. It preserves background information and creates gentler transitions between features. Average pooling works well in the final layers before classification where you want to aggregate information smoothly rather than preserve sharp features.
What is the vanishing gradient problem in deep CNNs?	The vanishing gradient problem occurs when gradients become exponentially smaller as they propagate backward through many layers. This happens because gradients are computed by multiplying many small values together during backpropagation. When gradients become too small, the early layers barely update their weights and essentially stop learning.
How do ReLU activations help solve vanishing gradients?	ReLU activations help prevent vanishing gradients because they have a simple derivative: either 0 or 1. Unlike sigmoid or tanh functions that saturate and produce very small gradients, ReLU maintains strong gradient flow for positive inputs. This allows gradients to propagate more effectively through deep networks without diminishing as severely.
How do skip connections solve the vanishing gradient problem?	Skip connections provide gradient highways that bypass the regular layer-by-layer path. Instead of gradients having to flow through every transformation, they can take direct shortcuts back to earlier layers. This ensures that even very deep networks maintain strong gradient signals for training all layers effectively.
What does the CNN output size formula tell us?	The output size after convolution depends on how the filter moves across the input. With larger kernels or smaller strides, you get smaller outputs. Padding can prevent this shrinkage. The relationship is: $O = \frac{I + 2P - K}{S} + 1$ where larger inputs give larger outputs, while bigger kernels reduce output size.
How does padding affect what happens at image borders?	Padding adds extra values (usually zeros) around the input edges. Without padding, the output shrinks because the filter can't center on border pixels. Same padding maintains the original size when stride equals 1. Padding prevents losing information at image boundaries and keeps spatial dimensions manageable through the network.
Why is parameter sharing crucial for CNNs?	Parameter sharing means using the same filter weights across all spatial positions. This creates massive efficiency gains - instead of learning separate weights for every possible location, the network learns one set of weights that work everywhere. This also provides translation equivariance, so patterns get recognized regardless of where they appear in the image.
How does parameter sharing compare to fully connected layers?	Fully connected layers would need separate weights for every pixel position, creating millions of parameters even for small images. CNNs with parameter sharing only need one set of filter weights regardless of image size. This dramatic reduction makes it practical to process large images while providing better generalization than position-specific weights.
What's the difference between hand-crafted features and learned features?	Hand-crafted features like SIFT and HOG were designed by experts based on domain knowledge. They work the same way for every task and require understanding of what patterns matter. CNN learned features are discovered automatically from data through training. They adapt to each specific task and can find patterns that humans might not think to look for.
Why was LeNet significant for deep learning?	LeNet proved that CNNs could solve real-world pattern recognition problems. It demonstrated that the core ideas of convolution, pooling, and hierarchical feature learning actually worked for practical applications. This success laid the conceptual foundation that modern deep learning would build upon, showing that neural networks could learn useful spatial hierarchies.
What breakthrough did AlexNet represent?	AlexNet showed that deep learning could dramatically outperform traditional computer vision methods on complex, real-world datasets. It proved that CNNs could scale to challenging problems and introduced key techniques like ReLU activations, dropout regularization, and data augmentation that became standard practice throughout deep learning.
What is VGG's design philosophy?	VGG demonstrated that network depth matters more than having large, complex filters. By stacking many small 3×3 convolutions, you can achieve the same receptive field as larger filters while using fewer parameters and more non-linearities. This "go deep with simple building blocks" approach influenced many subsequent architectures.
What innovation made ResNet possible?	ResNet introduced skip connections that let information flow directly between non-adjacent layers. The key insight was adding the input to the output: $y = F(x) + x$. This simple addition solved the vanishing gradient problem and made it possible to train networks with hundreds of layers while maintaining good gradient flow throughout.
What is Inception's approach to multi-scale features?	Inception modules process the same input with multiple filter sizes in parallel, then combine the results. This captures patterns at different scales simultaneously - some filters detect fine details while others capture broader context. The parallel paths provide richer representations than any single filter size could achieve alone.
What is batch normalization and why does it help training?	Batch normalization standardizes each layer's inputs by subtracting the batch mean and dividing by the batch standard deviation, then applies learnable scaling and shifting. The mathematical form is: $BN(x) = \gamma \frac{x-\mu}{\sigma} + \beta$. This stabilizes training by reducing how much the input distribution changes as earlier layers update.
How does batch normalization improve CNN training?	Batch normalization allows much higher learning rates because it prevents activations from becoming too large or small. It reduces the sensitivity to weight initialization and acts as a form of regularization. Most importantly, it enables training very deep networks by maintaining stable activation distributions throughout the forward and backward passes.
What is translation equivariance in CNNs?	Translation equivariance means that if you shift the input image, the output feature maps shift by the same amount. This property comes naturally from the convolution operation - when a pattern moves in the input, the corresponding activation moves in the feature map. It's like the network maintains a consistent spatial relationship between input and output.
What is translation invariance and how is it achieved?	Translation invariance means the final output doesn't change even if the input shifts. While convolution provides equivariance, pooling operations provide invariance by summarizing local regions. Data augmentation during training also helps the network learn to produce consistent outputs regardless of where objects appear in the image.
