#separator:tab
#html:true
What is face verification?	Face verification answers "Are these two face images from the same person?" It's a binary decision where the system compares two face images and decides if they match or not. The system computes how similar the faces are and compares this similarity to a threshold to make the yes/no decision.
What is face identification?	Face identification answers "Who is this person?" from a database of known identities. The system compares a query face against all stored identities and finds the best match. Unlike verification's simple yes/no answer, identification must search through potentially thousands of known people.
Why is face identification computationally harder than verification?	Verification only needs one comparison between two faces, making it very fast. Identification must compare the query face against every person in the database, so it gets slower as the database grows larger. A database with a million people requires a million comparisons for each identification.
What is an embedding space in face recognition?	An embedding space is like a map where similar faces are placed close together and different faces are far apart. Face recognition systems learn to convert face images into points in this space, where the distance between points tells you how similar the faces are.
Why do modern face recognition systems normalize face embeddings?	Normalization places all face embeddings on the surface of a sphere, making comparisons based on direction rather than magnitude. This creates cleaner geometric relationships where the angle between two face vectors directly represents how similar the faces are, regardless of image brightness or contrast.
What is closed-set face recognition?	Closed-set recognition assumes every test face belongs to someone already in the training database. It's like a multiple-choice test where you know the answer must be one of the provided options. The system just needs to pick the best match from known identities.
What is open-set face recognition?	Open-set recognition must handle unknown people who weren't in the training data. It's like a test where "none of the above" is always an option. The system must decide not only who someone might be, but also whether they're a completely unknown person.
What makes open-set recognition challenging?	The system must balance two types of errors: accepting unknown people as known identities, or rejecting known people as unknown. Setting the decision boundary too loose lets strangers in, while setting it too strict locks out legitimate users. Finding the right balance is crucial for security applications.
Why is face alignment important?	Face alignment ensures all faces are positioned consistently before recognition. Without alignment, the same person's face might be rotated, scaled, or positioned differently, making them look like different people to the system. Alignment creates a standard pose that makes comparison fair and accurate.
How does landmark-based alignment work?	Landmark alignment identifies key facial points like eyes, nose, and mouth corners, then rotates and scales the image so these landmarks match a standard template. This ensures all faces have eyes in the same position and the same overall scale, creating consistent input for recognition.
What is TAR in face verification?	TAR (True Accept Rate) measures how often the system correctly accepts genuine matches. If you present 100 pairs of images from the same person, TAR tells you what percentage the system correctly identified as matches. Higher TAR means fewer legitimate users get rejected.
What is FAR in face verification?	FAR (False Accept Rate) measures how often the system incorrectly accepts impostor pairs as matches. If you present 100 pairs of images from different people, FAR tells you what percentage the system wrongly identified as the same person. Lower FAR means better security against imposters.
What is EER and why is it useful?	EER (Equal Error Rate) is the operating point where the system makes equal numbers of false accepts and false rejects. It provides a single number to compare different face recognition systems. A lower EER generally indicates better overall performance across different security requirements.
What do ROC curves show for face verification?	ROC curves plot the trade-off between correctly accepting genuine users and incorrectly accepting imposters. They show how system performance changes as you adjust the similarity threshold. A curve closer to the top-left corner indicates better performance across all operating points.
What do CMC curves show for face identification?	CMC curves show identification performance by plotting the percentage of correct identifications within the top-k matches. For example, it might show that 85% of people are correctly identified in the top-1 match, and 95% are found within the top-5 matches.
Why are IJB benchmarks more realistic than LFW?	IJB benchmarks use multiple images per person with extreme variations in lighting, pose, and image quality, better reflecting real-world conditions. They test both verification and identification in challenging scenarios that systems actually encounter in deployment, unlike controlled laboratory conditions.
What is domain shift in face recognition?	Domain shift occurs when a system trained on one type of data performs poorly on different data. For example, a system trained on high-quality photos might fail on surveillance camera images due to differences in lighting, resolution, and image quality between the training and deployment environments.
What causes dataset bias in face recognition?	Dataset bias occurs when training data doesn't represent the diversity of real-world users. This might include overrepresentation of certain ethnic groups, age ranges, or image conditions. Systems then perform better for groups that were well-represented in training and worse for underrepresented groups.
What is triplet loss and how does it work?	Triplet loss teaches the system that faces from the same person should be more similar than faces from different people. It uses three images: an anchor, a positive example (same person), and a negative example (different person), then adjusts the system to make the anchor closer to the positive than to the negative.
Why is triplet mining important?	Not all triplets are equally useful for learning. Easy triplets where the system already gets the answer right don't improve performance. Hard triplets where the system makes mistakes provide the most learning value. Mining finds these challenging examples that push the system to improve.
