#separator:tab
#html:true
What is IoU and why is it important for object detection?	IoU (Intersection over Union) measures how well a predicted bounding box overlaps with the ground truth box. It's calculated as the area where boxes overlap divided by the total area they cover together. IoU ranges from 0 (no overlap) to 1 (perfect match). It's fundamental because it provides an objective way to measure detection quality and forms the basis for evaluation metrics like mAP.
What are the four main components of Vision Transformer architecture?	Vision Transformers have four key components that work together to process images. Patch embedding divides images into fixed-size patches and converts them to vectors. Positional encoding adds spatial information since transformers don't naturally understand position. Transformer blocks apply self-attention and feed-forward layers to learn relationships between patches. Finally, a classification head processes the special CLS token to make predictions.
How do Vision Transformers convert images into sequences?	ViTs treat images like sentences by dividing them into non-overlapping patches, typically 16×16 pixels each. Each patch gets flattened into a vector and linearly projected to the model's embedding dimension. For a 224×224 image with 16×16 patches, you get 196 patch "tokens" that the transformer processes as a sequence, just like words in natural language processing.
What is multi-head self-attention in Vision Transformers?	Multi-head self-attention allows different parts of the model to focus on different types of relationships simultaneously. The model splits the embedding into multiple "heads" (typically 8-16), each learning different attention patterns. Some heads might focus on local texture details while others capture global shape information. The results from all heads are combined to create rich, multi-faceted representations.
Why does self-attention have quadratic computational complexity?	Self-attention computes relationships between every pair of patches in the image. If you have N patches, the model must compute N×N attention scores to determine how much each patch should attend to every other patch. This quadratic scaling means doubling the image resolution roughly quadruples the computational cost, making ViTs expensive for high-resolution images.
What is semantic segmentation?	Semantic segmentation assigns a class label to every single pixel in an image. For example, it would label every pixel belonging to a car as "car", every sky pixel as "sky", and every road pixel as "road". It treats all instances of the same class identically - two different cars would get the same "car" label without distinguishing between them.
What is instance segmentation?	Instance segmentation goes beyond semantic segmentation by identifying and separately labeling each individual object instance. While semantic segmentation would label all car pixels as "car", instance segmentation would distinguish between "car #1", "car #2", and "car #3". It combines object detection (finding individual objects) with pixel-level segmentation (precise boundaries).
What is panoptic segmentation?	Panoptic segmentation provides a unified approach that combines semantic and instance segmentation. It ensures every pixel gets exactly one label and distinguishes between "things" (countable objects like cars, people) that get instance IDs and "stuff" (amorphous regions like sky, road) that only get semantic labels. It provides complete scene understanding without overlapping or missing pixels.
What is the difference between pre-normalization and post-normalization in transformers?	Pre-normalization applies layer normalization before the attention and feed-forward blocks, while post-normalization applies it afterward. Pre-norm has become the standard for ViTs because it provides much better training stability, especially for deep networks. It enables better gradient flow and reduces the risk of training instabilities that can occur with the original post-norm design.
What is Swin Transformer's key innovation?	Swin Transformer's main innovation is shifted window attention, which processes images in local windows instead of computing global attention over all patches. This makes computation much more efficient because attention is only computed within small windows rather than between all possible patch pairs, reducing complexity from quadratic to linear in image size.
How does shifted window attention work?	Shifted window attention divides the image into non-overlapping windows and computes attention only within each window. In alternating layers, the windows are shifted by half their size, allowing information to flow between previously separated regions. This creates a hierarchical structure where local patterns are captured efficiently while global understanding builds through the shifting mechanism across layers.
